"hosts","viruses","prop_false"
1318,4676,0.0379273504273504
154,1042,0.357226792009401
1081,3691,0.0815834767641996
470,2131,0.209905660377358
734,3194,0.122670807453416
1251,4693,0.0325941757948169
868,3327,0.110692771084337
1035,4119,0.0751201923076923
1100,3922,0.0769477396601475
344,1254,0.334995014955135
1349,4685,0.0335210512201662
1449,4820,0.0186596583442838
1363,4696,0.0349054090061285
467,2327,0.180936995153473
1344,4789,0.0316174549255291
1169,4308,0.0547945205479452
1314,4834,0.0372367745249101
587,2364,0.193175853018373
576,2055,0.216232961586121
286,1505,0.264971287940935
656,2674,0.155714285714286
972,3851,0.079136690647482
1581,5454,0.00114416475972545
467,2220,0.207662409772349
1069,3670,0.0988451086956522
200,1025,0.362068965517241
133,543,0.459715639810427
1054,4052,0.0739717618170657
916,3416,0.112376055820786
1092,4294,0.057987822557263
1081,3748,0.0801487994589111
58,259,0.45414847161572
1056,4167,0.0707673932517169
122,705,0.367003367003367
154,983,0.390334572490706
308,1094,0.327464788732394
118,640,0.487666034155598
1121,4203,0.0664500886001181
950,3936,0.075796178343949
221,841,0.383561643835616
693,2738,0.145437702640111
382,1737,0.250530785562633
1004,3789,0.0859038142620232
1305,4825,0.0300673924313115
1238,4649,0.0402252614641995
1416,5043,0.0210187932739861
533,2002,0.233609166136219
891,3604,0.103718867280791
444,2067,0.227135069654755
330,1479,0.311241610738255
1293,4526,0.0468836183121898
1284,4743,0.0347917764891935
389,2371,0.185358255451713
286,1195,0.306364617044229
502,2044,0.223889931207004
333,1868,0.232236842105263
1187,4056,0.0736290819470117
1054,4293,0.0560093348891482
753,3587,0.10128338536247
358,1862,0.227152317880795
920,3546,0.101694915254237
896,3607,0.0933333333333334
869,3191,0.12588512981904
59,265,0.56578947368421
47,294,0.490706319702602
968,3663,0.0914089347079038
1375,4976,0.027006751687922
1372,4916,0.029359655783346
74,385,0.46319018404908
503,2194,0.207881210736722
326,1688,0.27645788336933
173,940,0.39440203562341
90,518,0.421633554083885
650,2928,0.147120638923918
936,3198,0.126909518213866
787,3190,0.135593220338983
626,3205,0.140754716981132
37,277,0.448412698412698
815,3393,0.117044623262619
1067,4018,0.0707605985037406
1202,4332,0.0594285714285714
192,979,0.396965865992415
1288,4347,0.0522517321016166
59,549,0.397894736842105
684,3254,0.11431870669746
42,155,0.522727272727273
546,2582,0.167630057803468
1584,5315,0.0051789077212806
902,3492,0.103582830791061
245,1122,0.339149400218102
657,2406,0.185165702261967
919,3748,0.0999017359973796
1406,4978,0.0264603095356964
713,2562,0.173464373464373
841,3151,0.133677112257041
1211,4360,0.0580165761646184
1501,5204,0.00986525505293556
242,1188,0.347280334728033
187,1040,0.38602520045819
836,3349,0.118083921277386
1031,4002,0.0734059097978227
1136,4258,0.0537918871252204
164,1000,0.372596153846154
1030,4136,0.0592705167173252
34,173,0.668789808917198
1077,3488,0.0968807339449541
1230,4434,0.0456090651558073
1172,4169,0.0600301659125189
1536,5288,0.0108362779740871
1036,3771,0.0818517276081852
470,2134,0.201866977829638
757,3306,0.128698224852071
1317,4639,0.0395693135935397
596,2071,0.214154972544234
123,664,0.449912126537786
1561,5403,0.00231267345050878
838,3692,0.0932032301480484
57,295,0.450757575757576
153,732,0.359190556492411
1084,4223,0.060219519430436
1537,5274,0.0141342756183745
131,959,0.355361596009975
466,2001,0.214110429447853
1196,4493,0.054851157662624
621,2573,0.195557701593433
709,2803,0.136404697380307
469,2184,0.217342968315731
521,2434,0.170321264660887
155,899,0.453424657534247
1162,4346,0.0567559781042927
1201,4332,0.0535455861070911
1099,3905,0.0771465461588121
215,1189,0.330188679245283
28,93,0.709302325581395
1407,4932,0.0238578680203045
568,2231,0.19345579793341
243,1128,0.322927879440258
306,1751,0.236414961185603
1148,4186,0.065914489311164
1292,4696,0.035171862509992
1123,4090,0.062190594059406
684,2692,0.16542404473439
58,315,0.429090909090909
1412,4956,0.022887323943662
1197,4460,0.0437605872388481
1227,4408,0.0521985815602837
1032,3775,0.085781041388518
1450,5063,0.019960571710202
48,279,0.604651162790698
1285,4397,0.0595171252105559
123,673,0.429590017825312
575,2449,0.165398274987316
1367,4818,0.0306175402179554
1131,3849,0.0825777202072538
73,700,0.442141623488774
986,3608,0.100863557858377
1167,4318,0.0585858585858586
309,1307,0.352884615384615
667,2349,0.19140010487677
50,234,0.51
342,1799,0.284429065743945
1124,4202,0.063931013975617
535,2594,0.171469740634006
60,278,0.5
565,2538,0.153691612255148
127,741,0.476027397260274
777,3592,0.10446735395189
1379,4688,0.034805890227577
1547,5192,0.0113198458574181
368,1765,0.247838616714697
1217,4193,0.0625931445603577
78,616,0.420856610800745
819,3460,0.107452966714906
44,463,0.485576923076923
536,2283,0.201525054466231
1579,5447,0.00137488542621444
913,3251,0.124567474048443
620,2735,0.165162454873646
